code,description
I-784,"RIBOCICLIB WITH FULVESTRANT FOR THE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER, AS INITIAL ENDOCRINE BASED THERAPY OR FOLLOWING DISEASE PROGRESSION ON ENDOCRINE THERAPY"
ODE-120,"FOR USE AFTER RADIOLABELING WITH GA 68, WITH POSITRON EMISSION TOMOGRAPHY (PET) FOR LOCALIZATION OF SOMATOSTATIN RECEPTOR POSITIVE NEUROENDOCRINE TUMORS (NETS) IN ADULT AND PEDIATRIC PATIENTS."
I-522,"TREATMENT OF MODERATE ACNE VULGARIS IN WOMEN AT LEAST 14 YRS OF AGE, WHO HAVE NO KNOWN CONTRAINDICATIONS TO ORAL CONTRACEPTIVE THERAPY, AND HAVE ACHIEVED MENARCHE, IF THE PATIENT DESIRES AN ORAL CONTRACEPTIVE FOR BIRTH CONTROL."
I-832,TX OF ADULT PTS WITH DELETERIOUS OR SUSPECTED DELETERIOUS GERMLINE OR SOMATIC HOMOLOGOUS RECOMBINATION REPAIR GENE-MUTATED METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAVE PROGRESSED FOLLOWING PRIOR TREATMENT WITH ENZALUTAMIDE OR ABIRATERONE
ODE-353,"FOR TREATMENT OF ADULTS WITH PREVIOUSLY TREATED, UNRESECTABLE LOCALLY ADVANCED OR METASTATIC CHOLANGIOCARCINOMA WITH A FIBROBLAST GROWTH FACTOR RECEPTOR 2 (FGFR2) FUSION OR OTHER REARRANGEMENT AS DETECTED BY AN FDA-APPROVED TEST"
I-626,RELIEF OF NASAL CONGESTION ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS IN ADULTS AND PEDIATRIC PATIENTS 2 YEARS OF AGE AND OLDER
I-498,PREVENTION OF POSTOPERATIVE NAUSEA AND VOMITING
M-160,"UPDATED LABELING WITH DATA FROM A RANDOMIZED, DOUBLE-BLIND ACTIVE-CONTROLLED STUDY COMPARING EMPAGLIFLOZIN TO GLIMEPIRIDE IN PATIENTS WITH TYPE 2 DIABETES AND INSUFFICIENT GLYCEMIC CONTROL DESPITE METFORMIN TREATMENT"
ODE-381,TREATMENT OF ADULT PATIENTS WITH PHILADELPHIA CHROMOSOME-POSITIVE CHRONIC MYELOID LEUKEMIA (PH+ CML) IN CHRONIC PHASE (CP) WITH THE T315I MUTATION
I-903,REDUCTION IN THE INCIDENCE OF RECURRENT VULVOVAGINAL CANDIDIASIS (RVVC) INADULT AND POST-MENARCHAL PEDIATRIC FEMALES
I-295,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS FOR WOMEN WITH AN INTACT UTERUS
M-242,INFORMATION ADDED TO THE LABELING REGARDING THE EFFICACY AND SAFETY OF INSULIN DEGLUDEC/LIRAGLUTIDE VS INSULIN GLARGINE IN PTS W/ TYPE 2 DIABETES INADEQUATELY CONTROLLED ON SGLT2I WITH OR WITHOUT ORAL ANTIDIABETIC THERAPIES
I-834,TO REDUCE THE RISK OF CARDIOVASCULAR DEATH AND HOSPITALIZATION FOR HEART FAILURE IN ADULTS WITH HEART FAILURE (NYHA CLASS II-IV) WITH REDUCED EJECTION FRACTION
I-606,TREATMENT OF SCHIZOAFFECTIVE DISORDER AS MONOTHERAPY
ODE-156,"TREATMENT OF ADULTS WITH CARCINOID SYNDROME; WHEN USED, IT REDUCES THE FREQUENCY OF SHORT-ACTING SOMATOSTATIN ANALOG RESCUE THERAPY"
ODE-174,FOR THE TREATMENT OF THROMBOCYTOPENIA IN ADULT PATIENTS WITH CHRONIC IMMUNE THROMBOCYTOPENIA (ITP) WHO HAVE HAD AN INSUFFICIENT RESPONSE TO A PREVIOUS TREATMENT
M-25,ADDITIONAL SAFETY AND PHARMACOKINETICS INFORMATION IN CHILDREN 6 MONTHS TO LESS THAN 6 YEARS OF AGE ADDED TO PACKAGE INSERT
I-675,MAINTENANCE TREATMENT OF MAJOR DEPRESSIVE DISORDER
M-93,EXPANSION OF LABELING TO INCLUDE INFORMATION ON SAFETY AND EFFICACY OF CREON IN PATIENTS AGES 7 YEARS THROUGH 11 YEARS WITH PANCREATIC EXOCRINE INSUFFICIENCY DUE TO CYSTIC FIBROSIS
I-17,MANAGEMENT OF CONGESTIVE HEART FAILURE
I-60,SINGLE APPLICATION TREATMENT OF HEAD LICE IN CHILDREN TWO  MONTHS TO TWO YEARS IN AGE
M-263,REVISIONS TO THE LABELING TO INCLUDE RESULTS FROM CLINICAL STUDY ICL670E2419 (THETIS TRIAL) TO SUPPORT PMR 3342-2 AND 3342-3
ODE-346,"FOR THE TREATMENT OF ADULT PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY, EXCLUDING ADULT PATIENTS COVERED BY XPOVIOS PREVIOUS INDICATION FOR MULTIPLE MYELOMA APPROVED ON JULY 3, 2019"
ODE-24,TREATMENT OF ADULTS WITH RENAL ANGIOMYOLIPOMA AND TUBEROUS SCLEROSIS COMPLEX (TSC) NOT REQUIRING IMMEDIATE SURGERY
M-199,INFORMATION ADDED TO LABELING REGARDING THE TREATMENT OF PATIENTS WITH ALK-POSITIVE NON-SMALL CELL LUNG CANCER (NSCLC) WHO HAD NOT RECEIVED PRIOR SYSTEMIC THERAPY FOR METASTATIC DISEASE.
I-839,TO REPLACE THE CURRENT ANTIRETROVIRAL REGIMEN IN THOSE WHO ARE VIROLOGICALLY SUPRESSED (HIV-1 RNA LESS THAN 50 COPIES PER ML) ON A STABLE ANTIRETROVIRAL REGIMEN WITH NO HISTORY OF TREATMENT FAILURE
I-49,TREATMENT OF TRAVELERS DIARRHEA DUE TO SUSCEPTIBLE STRAINS OF ENTEROTOXIGENIC ESCHERICHIA COLI
I-624,MAINTENANCE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC NON-SMALL CELL LUNG CANCER WHOSE DISEASE HAS NOT PROGRESSED AFTER FOUR CYCLES OF PLATINUM-BASED FIRST-LINE CHEMOTHERAPY
I-126,ADJUNCT TO THALLIUM- 201 MYOCARDIAL PERFUSION IN PATIENTS UNABLE TO EXERCISE ADEQUATELY
I-381,TREATMENT OF COLD SORES (HERPES LABIALIS) IN ADULT AND ADOLESCENT PATIENTS 12 YEARS OF AGE AND OLDER
I-750,REDUCE THE RISK OF MAJOR ADVERSE CARDIOVASCULAR EVENTS IN ADULTS WITH TYPE 2 DIABETES MELLITUS AND ESTABLISHED CARDIOVASCULAR DISEASE
I-147,PREVENTION OF GALLSTONE FORMATION IN OBESE PATIENTS EXPERIENCING RAPID WEIGHT LOSS
I-758,FOR USE WITH RILPIVIRINE AS A COMPLETE REGIMEN TO REPLACE THE CURRENT ARV REGIMEN IN VIROLOGICALLY SUPPRESSED PATIENTS ON A STABLE ARV REGIMEN FOR AT LEAST 6 MONTHS WITH NO HISTORY OF TX FAILURE OR KNOWN SUBSTITUTIONS ASSOC. WITH RESISTANCE TO EITHER ARV
D-85,LOWER RECOMMENDED STARTING DOSE GUIDELINES FOR TREATMENT OF MODERATE TO SEVERE VASOMOTOR SYMPTOMS ASSOCIATED WITH THE MENOPAUSE
ODE-358,FOR THE TREATMENT OF VERNAL KERATOCONJUNCTIVITIS (VKC) IN CHILDREN AND ADULTS
I-560,"MAINTENANCE TREATMENT FOR BIPOLAR I DISORDER, AS ADJUNCTIVE THERAPY TO LITHIUM OR DIVALPROEX"
I-226,FIRST-LINE THERAPY FOR THE TREATMENT OF ADVANCED CARCINOMA OF THE OVARY IN COMBINATION WITH CISPLATIN
I-477,"TREATMENT OF COMPLICATED SKIN AND SKIN STRUCTURE INFECTIONS CAUSED BY METHICILLIN SUSCEPTIBLE STAPHYLOCOCCUS AUREUS, ESCHERICHIA COLI, KLEBSIELLA PNEUMONIAE, OR ENTEROBACTER CLOACAE"
ODE-317,FOR USE WITH POSITRON EMISSION TOMOGRAPHY (PET) FOR LOCALIZATION OF SOMATOSTATIN RECEPTOR POSITIVE NEUROENDOCRINE TUMORS (NETS) IN ADULT PATIENTS
ODE-143,TO DECREASE THE RECURRENCE OF PNEUMOTHORAX IN ADULTS
I-483,PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS
D-104,0.5MG/0.1MG FOR THE TREATMENT OF MODERATE TO SEVERE VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE IN WOMEN WHO HAVE A UTERUS
M-186,UPDATES TO THE PRODUCT INFORMATION REGARDING MAINTENANCE TREATMENT OF SCHIZOPHRENIA IN ADULTS BASED UPON THE RESULTS FROM STUDY 331-10-232
I-770,TREATMENT OF ACUTE OTITIS EXTERNA IN PATIENTS 6 MONTHS OF AGE AND OLDER DUE TO PSEUDOMONAS AERUGINOSA AND STAPHYLOCOCCUS AUREUS
I-310,"REDUCTION IN RISK OF MYOCARDIAL INFARCTION, STROKE, AND DEATH FROM CARDIOVASCULAR CAUSES"
M-82,LABELING REVISIONS RELATED TO CLINICAL STUDIES
ODE-73,"LONG-TERM TREATMENT OF ADULT PATIENTS WITH GAUCHER DISEASE TYPE 1 WHO ARE CYP2D6 EXTENSIVE METABOLIZERS (EMS), INTERMEDIATE METABOLIZERS (IMS), OR POOR METABOLIZERS (PMS) AS DETECTED BY AN FDA-CLEARED TEST."
I-630,TREATMENT OF PATIENTS WITH SUBEPENDYMAL GIANT CELL  ASTROCYTOMA (SEGA) ASSOCIATED WITH TUBEROUS SCLEROSIS (TS) WHO REQUIRE THERAPEUTIC INTERVENTION BUT ARE NOT CANDIDATES FOR CURATIVE SURGICAL RESECTION.
I-731,FOR USE IN MAGNETIC RESONANCE ANGIOGRAPHY IN ADULT AND PEDIATRIC PATIENTS (INCLUDING TERM NEONATES) TO EVALUATE KNOWN OR SUSPECTED SUPRA-AORTIC OR RENAL ARTERY DISEASE
I-793,"TREATMENT OF MODERATE TO SEVERE VAGINAL DRYNESS, A SYMPTOM OF VULVAR AND VAGINAL ATROPHY, DUE TO MENOPAUSE"
ODE-36,"ADJUNCT TO A LOW-FAT DIET AND OTHER LIPID-LOWERING TREATMENTS, INCLUDING LDL APHERESIS WHERE AVAILABLE, TO REDUCE LDL-C, TC, APOLIPOPROTEIN B, & NON-HDL-C IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA"
M-276,"REVISIONS TO THE PEDIATRIC USE SUBSECTION OF LABELING TO INCLUDE THE RESULTSFROM CLINICAL STUDY 1200.120, CONDUCTED TO FULFILL A PEDIATRIC WRITTEN REQUEST"
ODE-437,"FOR USE IN COMBINATION WITH STANDARD INDUCTION AND CONSOLIDATION, AND AS MAINTENANCE THERAPY FOLLOWING CONSOLIDATION CHEMOTHERAPY, FOR THE TREATMENT OF ADULT PATIENTS WITH NEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) THAT IS FLT3 INTERNAL TANDEM DUPLICATION (ITD)-POSITIVE AS DETECTED BY AN FDA-APPROVED TEST"
M-34,EXPANDED INFORMATION TO PEDIATRIC USE SUBSECTION OF LABELING IN RESPONSE TO PEDIATRIC WRITTEN REQUEST
I-175,TREATMENT OF TINEA CORPORIS AND TINEA CRURIS
D-53,USE IN PEDIATRIC PATIENTS FROM 1 MONTH TO 16 YEARS OF AGE
I-756,EXPANDED THE APPROVED INDICATION BY REMOVING THE RESTRICTION FOR USE ONLY IN PATIENTS WHO HAVE PROGRESSED ON OR ARE INTOLERANT TO CRIZOTINIB
I-280,USE OF CARNITOR INJECTION FOR THE PREVENTION AND TREATMENT OF CARNITINE DEFICIENCY IN PATIENTS WITH END STAGE RENAL DISEASE WHO ARE UNDERGOING DIALYSIS
I-275,USE IN COMBINATION WITH METFORMIN AND SULFONYLUREA IN PATIENTS WITH TYPE 2 DIABETES
I-674,TREATMENT OF PATIENTS WITH DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER (BIPOLAR DEPRESSION) AS MONOTHERAPY AND AS ADJUNCTIVE THERAPY WITH LITHIUM OR VALPROATE
ODE-429,TREATMENT OF CHOLESTATIC PRURITUS IN PATIENTS 3 MONTHS OF AGE TO LESS THAN 1 YEAR OF AGE WITH ALAGILLE SYNDROME (ALGS)
I-893,"IN COMBINATION WITH AZACITIDINE OR AS MONOTHERAPY FOR THE TREATMENT OFNEWLY DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) WITH A SUSCEPTIBLE ISOCITRATE DEHYDROGENASE-1 (IDH1) MUTATION AS DETECTED BY AN FDA-APPROVED TEST IN ADULTS 75 YEARS OR OLDER, OR WHO HAVE COMORBIDITIES THAT PRECLUDE USE OF INTENSIVE INDUCTION CHEMOTHERAPY"
ODE-171,TREATMENT OF PEDIATRIC PATIENTS GREATER THAN OR EQUAL TO 1 YEAR OF AGE WITH NEWLY DIAGNOSED PHILADELPHIA CHROMOSOME POSITIVE CHRONIC MYELOID LEUKEMIA (PH+CML) IN CHRONIC PHASE
I-650,"TREATMENT OF ADULTS WITH RENAL ANGIOMYOLIPOMA AND TUBEROUS SCLEROSIS COMPLEX (TSC), NOT REQUIRING IMMEDIATE SURGERY"
ODE-158,TREATMENT OF PATIENTS WITH ERDHEIM-CHESTER DISEASE WITH BRAF V600 MUTATION
M-239,"INFORMATION ADDED TO THE PEDIATRIC USE SECTION OF THE LABELING REGARDING A TRIAL CONDUCTED IN TREATMENT NAIVE PEDIATRIC PATIENTS, AGES 2 YEARS TO < 18 YEARS WITH TRANSFUSIONAL IRON OVERLOAD"
ODE-377,AS AN ADJUNCTIVE TREATMENT OF ADULT PATIENTS WITH SEVERE ACTIVE ANTI-NEUTROPHIL CYTOPLASMIC AUTOANTIBODY (ANCA)-ASSOCIATED VASCULITIS (GRANULOMATOSIS WITH POLYANGIITIS [GPA] AND MICROSCOPIC POLYANGIITIS [MPA])
ODE-420,TREATMENT OF TRANSFUSIONAL IRON OVERLOAD IN PEDIATRIC PATIENTS 8 YEARS OF AGE AND OLDER WITH THALASSEMIA SYNDROMES
I-862,TREATMENT OF VENOUS THROMBOEMBOLIC EVENTS (VTE) IN PEDIATRIC PATIENTS 8 TO LESS THAN 18 YEARS OF AGE WHO HAVE BEEN TREATED WITH A PARENTERAL ANTICOAGULANT FOR AT LEAST 5 DAYS AND TO REDUCE THE RISK OF RECURRENCE OF VTE IN PEDIATRIC PATIENTS 8 TO LESS THAN 18 YEARS OF AGE WHO HAVE BEEN PREVIOUSLY TREATED
D-164,"UPDATES TO THE DOSAGE AND ADMINISTRATION, DOSE MODIFICATIONS SECTION OF THE LABELING"
D-74,ONCE A WEEK DOSING FOR THE PREVENTION OF POSTMENOPAUSAL OSTEOPOROSIS
I-122,PSORIASIS OF THE SCALP
I-367,"COMBINATION THERAPY WITH THIAZOLIDINEDIONE TO LOWER BLOOD GLUCOSE IN PTS WHOSE HYPERGLYCEMIA CANNOT BE CONTROLLED BY DIET/EXERCISE PLUS MONOTHERAPY WITH ANY OF THE FOLLOWING AGENTS: METFORMIN, SULFONYLUREAS, REPAGLINIDE, OR THIAZOLIDINEDIONES"
D-67,SHORTER TREATMENT COURSE OF THREE DAYS IN THE TREATMENT OF RECURRENT EPISODES OF GENITAL HERPES
I-598,TREATMENT OF PULMONARY ARTERIAL HYPERTENSION INDICATION EXPANDED TO INCLUDE DELAY IN CLINICAL WORSENING
ODE-92,TREATMENT  OF LYMPHANGIOLEIOMYOMATOSIS (LAM)
I-91,MONOTHERAPY USE FOR HYPERTENSION
I-259,"PROPHYLAXIS OF DEEP VEIN THROMBOSIS (DVT), WHICH MAY LEAD TO PULMONARY EMBOLISM, IN PATIENTS UNDERGOING HIP REPLACEMENT SURGERY"
I-235,PREVENTION OF EXERCISE-INDUCED BRONCHOSPASM IN PATIENTS 12 YEARS OF AGE AND OLDER
D-50,INFORMATION FOR USE OF CORVERT IN POST-CARDIAC SURGERY PATIENTS
I-649,TREATMENT OF PATIENTS WITH ADVANCED SOFT TISSUE SARCOMA (STS) WHO HAVE RECEIVED PRIOR CHEMOTHERAPY
I-250,PRIMARY PREVENTION OF CORONARY HEART DISEASE IN PATIENTS WITHOUT SYMPATOMATIC CARDIOVASCULAR DISEASE WHO HAVE AVERAGE TO MODERATELY ELEVATED TOTAL-C AND LDL-C AND BELOW AVERAGE HDL-C
M-118,LABELING CHANGES BASED UPON SAFETY AND EFFICACY RESULTS FROM TRIAL 1218.36
I-788,"NEW INDICATION FOR CANAGLIFLOZIN TO REDUCE THE RISK OF MAJOR ADVERSE CARDIOVASCULAR EVENTS (CARDIOVASCULAR DEATH, NONFATAL MYOCARDIAL INFARCTION AND NONFATAL STROKE) IN ADULTS WITH TYPE 2 DIABETES MELLITUS AND ESTABLISHED CARDIOVASCULAR DISEASE (CVD)"
ODE-380,TREATMENT OF PEDIATRIC PATIENTS GREATER THAN OR EQUAL TO 1 YEAR OF AGE WITH ACCELERATED PHASE PHILADELPHIA CHROMOSOME POSITIVE CHRONIC MYELOID LEUKEMIA (PH+ CML) WITH RESISTANCE ORINTOLERANCE TO PRIOR TYROSINE-KINASE INHIBITOR (TKI) THERAPY
M-114,CHANGES IN SECTION 14 OF THE PACKAGE INSERT TO INCLUDE DATA FROM THE SWITCHMRK STUDIES (SWITCH OF SUPPRESSED SUBJECTS FROM LOPINAVIR/RITONAVIR  TO RALTEGRAVIR)
I-244,REDUCE THE INCIDENCE OF BREAST CANCER IN WOMEN AT HIGH RISK FOR BREAST CANCER
D-61,ONCE WEEKLY DOSING FOR THE TREATMENT OF POSTMENOPAUSAL OSTEOPOROSIS
ODE-331,TREATMENT OF CATAPLEXY IN ADULT PATIENTS WITH NACROLEPSY
ODE-75,TREATMENT OF PATIENTS WITH SEVERE APLASTIC ANEMIA WHO HAVE HAD AN INSUFFICIENT RESPONSE TO IMMUNOSUPPRESSIVE THERAPY.
I-95,TREATMENT OF LEFT VENTRICULAR DYSFUNCTION FOLLOWING MYOCARDIAL INFARCTION
I-814,TX OF ADV OVARIAN FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER TREATED W/ >=3 PRIOR CHEMO REGIMENS & ASSOCIATED W/ HRD DEFICIENCY DEFINED BY POSITIVE STATUS GENOMIC INSTABILITY & WHO HAVE PROGRESSED >6MO AFTER RESPONSE TO LAST PLATINUM-BASED CHEMO
ODE-144,TREATMENT OF AMYOTROPHIC LATERAL SCLEROSIS (ALS)
I-745,"MEKINIST, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST."
ODE-359,FOR THE TREATMENT OF BOTH THE FIRST-STAGE (HEMOLYMPHATIC) AND SECOND-STAGE (MENINGOENCEPHALITIC) HUMAN AFRICAN TRYPANOSOMIASIS (HAT) DUE TO TRYPANOSOMA BRUCEI GAMBIENSE IN PATIENTS 6 YEARS OF AGE AND OLDER AND WEIGHING AT LEAST 20 KG
M-233,INFORMATION ADDED TO THE LABELING TO DESCRIBE FIXED-DOSE COMBINATION OF TIOTROPIUM BROMIDE AND OLODATEROL TO INCLUDE REDUCTION OF COPD EXACERBATIONS
I-190,PLANAR IMAGING AS A SECOND LINE DIAGNOSTIC DRUG AFTER MAMMOGRAPHY TO ASSIST IN THE EVALUATION OF BREAST LESIONS IN PATIENTS WITH AN ABNORMAL MAMMOGRAM OR A PALPABLE BREAST MASS
I-808,TREATMENT OF PATIENTS WITH METASTATIC CASTRATION-SENSITIVE PROSTATE CANCER (MCSPC)
I-453,"USE IN COMBINATION WITH A SULFONYLUREA PLUS METFORMIN WHEN DIET, EXERCISE AND BOTH AGENTS DO NOT RESULT IN ADEQUATE GLYCEMIC CONTROL (TRIPLE THERAPY)"
M-87,INCLUSION OF RESULTS FROM TWO DRUG INTERACTION STUDIES WITH LIPITOR AND CRESTOR IN CLINICAL PHARMACOLOGY SECTION
I-412,MONOTHERAPY FOR THE SHORT TERM TREATMENT OF ACUTE MANIC OR MIXED EPISODES ASSOCIATED WITH BIPOLAR I DISORDER
I-203,MAINTENANCE OF REMISSION OF ULCERATIVE COLITIS
I-277,TREATMENT OF TYPE III HYPERLIPOPROTEINEMIA
I-29,METASTATIC BREAST CANCER IN PREMENOPAUSAL WOMEN AS AN ALTERNATIVE TO OOPHORECTOMY OR OVARIAN IRRADIATION
D-49,PEDIATRIC DOSING GUIDELINES
ODE-240,TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH SHORT BOWEL SYNDROME (SBS) WHO ARE DEPENDENT ON PARENTERAL SUPPORT
M-189,LABELING DESCRIBING THE EXPECTED REDUCTION OF ABUSE OF SINGLE-ENTITY MORPHINE BY THE INTRANASAL ROUTE OF ADMINISTRATION DUE TO PHYSICOCHEMICAL PROPERTIES
I-780,TREATMENT OF ADULT PATIENTS WITH MODERATELY TO SEVERELY ACTIVE ULCERATIVE COLITIS (UC)
ODE-428,TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH LOW-GRADE GLIOMA (LGG) WITH A BRAF V600E MUTATION WHO REQUIRE SYSTEMIC THERAPY
I-549,USE OF AVALIDE TABLETS AS INITIAL THERAPY IN PATIENTS WHO ARE LIKELY TO NEED MULTIPLE DRUGS TO ACHIEVE THEIR  BLOOD PRESSURE GOALS
I-119,TREATMENT OF ANEMIA CAUSED BY UTERINE LEIOMYOMATA IN WOMEN WHO FAIL IRON THERAPY
I-543,USE IN COMBINATION WITH CISPLATIN AND FLUOROURACIL FOR THE INDUCTION TREATMENT OF PATIENTS WITH LOCALLY ADVANCED SQUAMOUS CELL CARCINOMA OF THE HEAD AND NECK (SCCHN)
ODE-9,TREATMENT OF ASYMPTOMATIC OR PROGRESSIVE MEDULLARY THYROID CANCER IN PATIENTS WITH UNRESECTABLE LOCALLY ADVANCED OR METASTATIC DISEASE
I-495,ADJUVANT TX OF POSTMENOPAUSAL WOMEN WITH ESTROGEN-RECEPTOR POSITIVE EARLY BREAST CANCER WHO HAVE RECEIVED 2 TO 3 YRS OF TAMOXIFEN AND ARE SWITCHED TO AROMASIN FOR COMPLETION OF A TOTAL OF 5 CONSECUTIVE YRS OF ADJUVANT HORMONAL THERAPY
ODE-194,"ENCORAFENIB IS INDICATED IN COMBINATION WITH BINIMETINIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH A BRAF V600E OR V600K MUTATION, AS DETECTED BY AN FDA-APPROVED TEST"
I-662,REDUCTION IN RISK FOR DEEP VEIN THROMBOSIS AND THE REDUCTION IN RISK FOR PULMONARY EMBOLISM
M-129,RESULTS OF A CLINICAL STUDY REPORT WHICH ASSESSES THE SAFETY AND EFFICACY IN CHILDREN AGES 6 TO 12 YEARS OF AGE
I-646,SIGNS AND SYMPTOMS OF ADVANCED PARKINSONS DISEASE (APD)
M-105,"NEW LANGUAGE ADDED TO CLINICAL STUDIES REGARDING USE IN SMOKERS WITH CARDIOVASCULAR DISEASE, CHRONIC OBSTRUCTIVE PULMONARY DISEASE, AND USE ACCORDING TO AN ALTERNATIVE SET OF DIRECTIONS FOR SETTING A QUIT DATE"
I-431,NOSOCOMIAL PNEUMONIA AND COMMUNITY-ACQUIRED PNEUMONIA CAUSED BY STREPTOCOCCUS PNEUMONIAE INDICATION EXPANDED TO INCLUDE MULTI-DRUG RESISTANT STRAINS
M-243,"INFORMATION ADDED TO LABELING FROM PROSPECTIVE, RANDOMIZED, OPEN-LABEL, BLIND EVALUATOR (PROBE) STUDY EVALUATING THE EFFICACY AND SAFETY OF LOW MOLECULAR WEIGHT HEPARIN/EDOXABAN VERSUS DALTEPARIN IN VENOUS THROMBOEMBOLISM ASSOCIATED WITH CANCER"
ODE-95,FOR THE FIRST-LINE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) EXON 19 DELETIONS OR EXON 21 (L858R) SUBSTITUTION MUTATIONS AS DETECTED BY AN FDA-APPROVED TEST
ODE-233,"TREATMENT OF PEDIATRIC PATIENTS 12 YEARS AND OLDER OR WEIGHING AT LEAST 45 KG WITH HCV GENOTYPE 1 INFECTION, WHO PREVIOUSLY HAVE BEEN TREATED WITH A REGIMEN CONTAINING AN HCV NS5A INHIBITOR OR AN NS3/4A PROTEASE INHIBITOR (PI), BUT NOT BOTH"
ODE-100,FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC LIPOSARCOMA OR LEIOMYOSARCOMA WHO RECEIVED A PRIOR ANTHRACYCLINE-CONTAINING REGIMEN
I-357,TREATMENT OF COMPLICATED SKIN AND SKIN STRUCTURE INFECTIONS
D-184,NEW DOSING SCHEDULE FOR CABOTEGRAVIR/RILPIVRINE INJECTION EVERY 2 MONTHS
D-52,ALTERNATE DOSING REGIMEN OF 1250MG TWICE DAILY
ODE-354,"TREATMENT OF HUMAN SMALLPOX DISEASE CAUSED BY VARIOLA VIRUS IN ADULT AND PEDIATRIC PATIENTS, INCLUDING NEONATES"
I-848,REDUCE THE RISK OF STROKE IN PATIENTS WITH ACUTE ISCHEMIC STROKE (NIH STROKE SCALE SCORE <=5) OR HIGH-RISK TRANSIENT ISCHEMIC ATTACK (TIA)
I-35,PEDIATRIC CONTRAST ENHANCEMENT OF COMPUTED TOMOGRAPHIC HEAD IMAGING
I-760,FOR THE TREATMENT OF PATIENTS WITH ADVANCED RENAL CELL CARCINOMA
I-824,"RIVAROXABAN IN COMBINATION WITH ASPIRIN, IS INDICATED TO REDUCE THE RISK OF MAJOR CV EVENTS (CV DEATH, MI, AND STROKE) IN PATIENTS WITH CHRONIC CORONARY ARTERY DISEASE (CAD) OR PERIPHERAL ARTERY DISEASE (PAD)"
ODE-308,TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) (WHO GROUP 1) TO IMPROVE EXERCISE CAPACITY
ODE-134,TREATMENT OF CHOREA ASSOCIATED WITH HUNTINGTONS DISEASE
I-339,TREATMENT OF HEPATITIS B IN PEDIATRIC PATIENTS AGES 2-17 YEARS
M-80,ADDITIONAL TIME POINT OF 30  MINUTES (0.5 HOUR) IN CHILDREN AGED 6-12 YEARS WITH A DIAGNOSIS OF ATTENTION-DEFICIT HYPERACTIVITY DISORDER (ADHD)
M-204,CLINICAL INFORMATION ADDED TO THE PACKAGE INSERT REGARDING USE OF ATORVASTATIN IN CHILDREN AND ADOLESCENTS AGES 10-17 WITH HETEROZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA (HEFH)
I-85,TREATMENT OF ANOREXIA ASSOCIATED WITH WEIGHT LOSS IN PATIENTS WITH AIDS
I-333,TOPICAL TREATMENT OF TINEA (PITYRIASIS) VERSICOLOR DUE TO MALASSEZIA FURFUR (FORMERLY PITYROSPORUM ORBICULARE)
ODE-290,INDICATED FOR THE INITIAL TREATMENT OF SEVERE MALARIA IN ADULT AND PEDIATRIC PATIENTS TO ALWAYS BE FOLLOWED BY A COMPLETE TREATMENT COURSE OF AN APPROPRIATE ORAL ANTIMALARIAL REGIMEN
ODE-199,THE TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGE 12 MONTHS AND OLDER WHO HAVE ONE MUTATION IN THE CFTR GENE THAT IS RESPONSIVE TO IVACAFTOR POTENTIATION BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA
NPP,NEW PATIENT POPULATION
M-216,UPDATE THE PRESCRIBING INFORMATION AND PATIENT LABELING WITH FINDINGS FROM STUDY RP103-08 CONDUCTED IN TREATMENT-NAIVE NEPHROPATHIC CYSTINOSIS PATIENTS TO EXPAND THE INDICATED POPULATION TO PATIENTS 1 YEAR AND OLDER
